                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3194,                 2.0853,                 1.3258,                0.75276,                0.88776,                0.85371,                0.61267,                0.97502,                 1.1636,                 1.0694,             0.00021109,             0.00021109,             0.00021109
                      2,                 1.0943,                0.86755,                 1.1812,                0.96336,                 0.9316,                 0.9614,                0.72305,                0.87295,                0.98364,                 1.0421,             0.00041899,             0.00041899,             0.00041899
                      3,                 1.0252,                0.73646,                 1.1378,                 0.7749,                0.81589,                0.87526,                0.68405,                0.85595,                0.81849,                 1.0681,             0.00061223,             0.00061223,             0.00061223
                      4,                0.97477,                0.64729,                 1.1237,                0.92662,                0.82677,                0.93243,                0.71244,                0.84633,                0.75409,                 1.1296,              0.0007908,              0.0007908,              0.0007908
                      5,                 1.0296,                0.64891,                 1.1853,                0.75882,                0.63229,                0.69332,                0.38558,                 1.6016,                 1.3577,                 1.3754,              0.0009547,              0.0009547,              0.0009547
                      6,                 1.0243,                0.67436,                 1.1203,                0.88022,                0.65364,                0.78836,                0.57605,                0.91826,                  1.097,                 1.1071,             0.00092769,             0.00092769,             0.00092769
                      7,                0.92782,                0.59095,                 1.0909,                0.84155,                0.83585,                0.88767,                0.68443,                0.85011,                0.71814,                 1.0437,             0.00089102,             0.00089102,             0.00089102
                      8,                0.90406,                 0.5551,                 1.0839,                0.93402,                0.85355,                 0.9469,                0.77725,                 0.7218,                 0.5334,                 1.0018,             0.00085436,             0.00085436,             0.00085436
                      9,                0.87713,                0.52121,                 1.0527,                0.86677,                0.72681,                0.82973,                0.64083,                0.88256,                0.68428,                 1.0793,              0.0008177,              0.0008177,              0.0008177
                     10,                0.84333,                0.48278,                 1.0522,                0.90457,                0.81622,                0.94471,                  0.717,                0.88752,                0.69682,                 1.0665,             0.00078103,             0.00078103,             0.00078103
                     11,                0.84986,                0.50613,                 1.0594,                0.86706,                0.80552,                0.91181,                0.71561,                0.83884,                0.72072,                  1.046,             0.00074437,             0.00074437,             0.00074437
                     12,                0.88686,                0.50011,                 1.0713,                0.92367,                0.95279,                0.97029,                0.80208,                0.72504,                0.46486,                 1.0115,             0.00070771,             0.00070771,             0.00070771
                     13,                0.84316,                0.46668,                 1.0401,                0.97353,                0.91391,                0.97301,                0.79861,                0.75179,                  0.437,                 1.0159,             0.00067104,             0.00067104,             0.00067104
                     14,                0.86515,                0.62353,                 1.0901,                0.97329,                0.93446,                0.96755,                0.81313,                0.70755,                0.40509,                0.98801,             0.00063438,             0.00063438,             0.00063438
                     15,                0.82051,                0.44595,                 1.0353,                0.97434,                0.95813,                0.98135,                0.77316,                0.86161,                0.41244,                 1.0613,             0.00059772,             0.00059772,             0.00059772
                     16,                0.82597,                0.44911,                 1.0375,                 0.9891,                0.93722,                0.97942,                0.81145,                0.74044,                0.40253,                 1.0221,             0.00056105,             0.00056105,             0.00056105
                     17,                0.82127,                 0.4384,                 1.0367,                0.95558,                0.96586,                0.97839,                0.75281,                0.95495,                0.45871,                 1.1185,             0.00052439,             0.00052439,             0.00052439
                     18,                0.80853,                0.43328,                 1.0334,                 0.9813,                0.96845,                0.98941,                0.78996,                 0.8649,                0.41355,                 1.0576,             0.00048773,             0.00048773,             0.00048773
                     19,                0.83439,                0.43927,                   1.04,                0.97909,                0.97873,                0.98984,                0.82855,                0.71707,                0.36374,                 1.0039,             0.00045107,             0.00045107,             0.00045107
                     20,                 0.7983,                0.42218,                 1.0204,                0.98157,                0.94987,                0.98395,                0.82973,                0.73502,                0.36981,                0.98907,              0.0004144,              0.0004144,              0.0004144
                     21,                0.80699,                0.40271,                 1.0467,                 0.9877,                0.94593,                0.98403,                0.78355,                0.84823,                0.38656,                  1.036,             0.00037774,             0.00037774,             0.00037774
                     22,                0.80699,                0.38376,                 1.0545,                0.98305,                0.96482,                0.98744,                0.84003,                0.67829,                0.34377,                0.96595,             0.00034108,             0.00034108,             0.00034108
                     23,                0.80599,                0.38689,                 1.0922,                0.97241,                0.97718,                0.98741,                0.84867,                0.68072,                0.34224,                0.98567,             0.00030441,             0.00030441,             0.00030441
                     24,                0.75003,                0.35741,                 1.0315,                0.96922,                0.96931,                0.98721,                0.85616,                0.62648,                 0.3224,                0.95459,             0.00026775,             0.00026775,             0.00026775
                     25,                0.73761,                0.35179,                 1.0086,                0.98789,                0.97025,                0.99029,                0.85985,                0.65198,                0.32182,                0.95091,             0.00023109,             0.00023109,             0.00023109
                     26,                0.70396,                0.34006,                0.98614,                0.97784,                0.97454,                0.98973,                0.86316,                0.66778,                0.31916,                0.97531,             0.00019442,             0.00019442,             0.00019442
                     27,                0.69147,                0.33083,                0.97968,                 0.9858,                  0.971,                0.98857,                0.86479,                0.65416,                0.30888,                0.95769,             0.00015776,             0.00015776,             0.00015776
                     28,                0.70484,                0.32906,                0.97214,                0.99464,                0.96054,                0.98692,                 0.8682,                 0.6259,                0.29888,                0.94155,              0.0001211,              0.0001211,              0.0001211
                     29,                 0.6966,                0.32889,                0.97942,                0.98452,                0.96742,                0.98709,                0.86685,                0.63003,                0.30374,                 0.9445,             8.4436e-05,             8.4436e-05,             8.4436e-05
                     30,                0.66702,                0.31191,                0.94901,                0.97883,                0.96806,                0.98783,                0.86617,                0.65367,                0.30833,                0.95515,             4.7773e-05,             4.7773e-05,             4.7773e-05
